pmid,marker_recall,marker_precision,tissue_cell_recall,tissue_cell_precision,standard_marker_count,test_marker_count,standard_tc_count,test_tc_count
30893597,0.8,0.13793103448275862,0.0,0.0,5,29,2,8
30958799,0.9230769230769231,0.24,0.25,0.03333333333333333,13,50,4,30
35303421,1.0,0.05555555555555555,0.0,0.0,3,54,1,34
Average,0.9076923076923077,0.14449553001277138,0.08333333333333333,0.011111111111111112,21,133,7,72
Total,0.9,0.140625,0.14285714285714285,0.014084507042253521,20,128,7,71
Global,0.9,0.140625,0.14285714285714285,0.014084507042253521,20,128,7,71
