names,scores,logfoldchanges,pvals,pvals_adj
TENT5C,5.7769966,191.89209,7.604583537323798e-09,6.783058073367454e-06
IFITM1,5.752251,334.4429,8.806287857041111e-09,7.623914208000151e-06
RAB8B,5.7188983,42.478745,1.0721684016050608e-08,8.889937155280271e-06
HCST,5.643586,2.3466468,1.66544188514137e-08,1.3430762161407186e-05
RHOH,5.634979,4.352852,1.750797090253981e-08,1.3928300635574577e-05
PRKCH,5.587102,65.74955,2.3089037221949894e-08,1.76526184578726e-05
AC027290.2,5.515017,88.81857,3.487460109910028e-08,2.5988199578532072e-05
TRDC,5.5107136,12.138026,3.573819146613097e-08,2.629884164513913e-05
VPS37B,5.4897337,8.377057,4.025402277011373e-08,2.92562261787234e-05
STAT4,5.455305,141.39914,4.888880965261156e-08,3.5098588100600514e-05
GPR65,5.4386287,1.5443925,5.3692169815827035e-08,3.808262695250286e-05
LCK,5.4327116,72.35521,5.5504118762901734e-08,3.889913656633363e-05
NCL,5.3444886,170.56256,9.067278241470933e-08,6.065803069038566e-05
CKLF,5.30737,25.073242,1.112181741886291e-07,7.356644847735499e-05
ISG20,5.2600307,213.11287,1.440311498426186e-07,9.099839193793645e-05
ALOX5AP,5.258417,225.60854,1.4530064280900335e-07,9.099839193793645e-05
SH2D1A,5.2471204,58.20025,1.5449505111568321e-07,9.376416143484816e-05
IFNG,5.209464,528.85876,1.893868640342941e-07,0.00011038816520493955
CTSW,5.201933,429.42224,1.972264961634163e-07,0.00011338004048000908
GZMK,5.200857,8.539053,1.9837173720810149e-07,0.00011338004048000908
XCL2,5.197091,65.12969,2.024309156379229e-07,0.00011458757695773578
PTGER4,5.1798773,34.55899,2.2203215660482707e-07,0.00012448602913643972
TXK,5.1567454,6.781126,2.5127906323546627e-07,0.000137759214930842
PDE7A,5.1459866,6.345104,2.6611853894111967e-07,0.0001424218035223974
IKZF1,5.120703,0.50606745,3.0439861233012685e-07,0.0001614409577285997
RNF19A,5.1083302,29.59742,3.250180720064756e-07,0.00016932578671700194
HOPX,5.0583014,129.82681,4.2300747905194275e-07,0.00021103771433718532
PMAIP1,5.0470047,53.609276,4.487906755978458e-07,0.00022201938716340488
SYNE2,5.0292525,50.659275,4.92396020723645e-07,0.00024156128116667485
RPS3,5.0141897,283.102,5.325737619229267e-07,0.0002536427591894653
AKNA,5.0082726,7.7463894,5.492074938687255e-07,0.0002566019457464434
SLC38A1,4.995362,114.277374,5.872557217765258e-07,0.00027221845937782735
S1PR5,4.9700785,82.69841,6.692585477304614e-07,0.000303071159268402
ACAP1,4.9668508,4.003753,6.80489472723325e-07,0.0003058046966352835
TRBC1,4.9480224,8.76076,7.497121479785698e-07,0.00033184627181577747
ITK,4.9464087,6.480169,7.559514268030336e-07,0.000332110899223094
HIST1H1D,4.8990693,5.369281,9.629156365858384e-07,0.00041681502592506105
TNFAIP3,4.8608756,85.70418,1.1686779295921845e-06,0.0004949645303244022
CD2,4.8463507,6.0638456,1.2575302806643817e-06,0.0005287914830193726
JUND,4.7947083,66.81227,1.6291186075204537e-06,0.0006706728141589448
NFKB1,4.786101,25.559023,1.7005251679853615e-06,0.000695207754439571
RARRES3,4.7688866,61.101727,1.8524677538458734e-06,0.0007509494251055165
PTPN22,4.728003,72.260155,2.2673897734186924e-06,0.0008958472212158284
HMGB2,4.720472,651.8329,2.3529841891445143e-06,0.000923467861432917
SOCS1,4.7005677,4.334441,2.594392838661966e-06,0.0010048151737633549
AREG,4.69465,151.28801,2.6706325309927725e-06,0.0010209099811658736
TRGC1,4.648925,7.088648,3.336696871261306e-06,0.001211401223376537
GZMM,4.6311727,6.4742594,3.636004500007465e-06,0.0012972823328208452
PDCD4,4.6161103,142.83806,3.90999355712441e-06,0.0013701269089756785
HMGB1,4.606965,246.57823,4.085884691802492e-06,0.001406643460856215
MATK,4.5945926,5.2160964,4.335959817473475e-06,0.0014754795055182861
CLEC2B,4.5838337,21.583733,4.565278459144066e-06,0.001543685415751975
APOBEC3G,4.531653,105.43416,5.852399019553044e-06,0.0019140596126727095
DUSP5,4.526811,2.032272,5.988037546944015e-06,0.0019476009413734487
PTPRC,4.5171285,528.2059,6.268394512390509e-06,0.0020275845326616993
CCND2,4.4843135,3.890071,7.31490280111588e-06,0.002302825282896748
GSTP1,4.467099,135.55315,7.928732766344426e-06,0.0024310650935140438
RPSA,4.4633336,105.44452,8.069423384171796e-06,0.0024613831845916767
LINC01871,4.4552646,13.413518,8.378982272586349e-06,0.0025426324040575174
ITM2A,4.441816,4.8005705,8.920287681126662e-06,0.002665671755268663
SLFN13,4.4192224,30.173769,9.905677761953632e-06,0.0029303881901819612
RALY,4.400394,0.019569382,1.0805446561079948e-05,0.0031490922725285965
EOMES,4.395015,7.441997,1.1076529983788816e-05,0.003212193695298757
LBH,4.3783383,145.13672,1.1958761526254324e-05,0.0034342062978077663
SRSF7,4.3675795,142.45776,1.2563113199286867e-05,0.003572900840782695
RPS21,4.2987223,7.9426713,1.7178548889801212e-05,0.004747892831655387
RPS15A,4.285812,43.399895,1.820731752127809e-05,0.004985417592919261
STK17B,4.2460036,125.14446,2.1761702011380874e-05,0.005890775441467166
PLAC8,4.2330933,51.819122,2.3049910374697555e-05,0.006140037211576675
PTPN7,4.22341,66.67687,2.4063347981407605e-05,0.006324148641363686
BTG1,4.195975,89.30475,2.7170047180375264e-05,0.00710889190003863
RASGRP1,4.1922092,85.43112,2.7625110849464184e-05,0.007149789517700854
KLRC1,4.1916714,243.9833,2.7690708510884908e-05,0.007149789517700854
IL32,4.1588564,-8.466996,3.198446769113215e-05,0.008046690653747648
GPR174,4.1400285,49.6084,3.472627395802048e-05,0.008625889231682133
LCP1,4.1222763,263.8006,3.7514692184676506e-05,0.009202041370466273
EVL,4.1099033,2.0931244,3.9582447874595654e-05,0.009629002918915067
PARP8,4.0986066,19.31422,4.156447014640409e-05,0.009987348398035955
CDC42SE2,4.095379,5.758622,4.214783475801861e-05,0.010068870792738917
FKBP11,4.0727854,191.2081,4.645424883340782e-05,0.010872522566087249
PSMB9,4.06902,6.012342,4.7211365283804065e-05,0.010872522566087249
CDKN2D,4.055571,194.93451,5.001197410015595e-05,0.01128047860259073
GPBP1,4.0367427,1.8270864,5.419840205599755e-05,0.012085833064532484
HNRNPA3,4.035129,80.507324,5.457228597748577e-05,0.012123284813187122
PTMA,4.014687,612.36755,5.9524694178066986e-05,0.012818318911989719
NUCB2,4.014687,316.87482,5.9524694178066986e-05,0.012818318911989719
CCDC85B,4.0001626,3.7003305,6.329896786605712e-05,0.013501486370560808
ODF2L,3.9980109,90.7472,6.387702402743224e-05,0.013575597128140564
