names,scores,logfoldchanges,pvals,pvals_adj
ALDH2,-5.8237977,-27.28818,5.752515926763896e-09,5.2914158220092274e-06
FCGRT,-5.8598404,-7.172306,4.633128661749048e-09,4.3992303922123625e-06
CTSZ,-5.930849,-5.4790936,3.0137231248093166e-09,3.0070827179241433e-06
CTSB,-5.9851813,-20.058187,2.161487300139606e-09,2.272263524271761e-06
GLUL,-5.985719,121.548325,2.1543547535826884e-09,2.272263524271761e-06
CD302,-6.0594177,-5.8754177,1.3661499254660067e-09,1.57696561004282e-06
CD14,-6.099226,-33.340233,1.0658334391475152e-09,1.2549122912522844e-06
ETS2,-6.1132126,-7.4103007,9.764520744402478e-10,1.1731374208632122e-06
SCARB2,-6.1551723,-8.414771,7.499594078326922e-10,9.393640497683104e-07
MARCKS,-6.224029,-11.047968,4.84546624980858e-10,6.633781351772817e-07
CXCL2,-6.2799754,-11.964223,3.3862617077027363e-10,4.983730668311502e-07
PSAP,-6.483857,14.570045,8.940700338799734e-11,1.548055967485707e-07
CEBPB,-6.6565375,-10.3754225,2.803537431633552e-11,5.50147495334224e-08
RXRA,-6.7366915,-8.0305195,1.6203390174919188e-11,3.4067627842767595e-08
GRN,-6.798555,-9.717651,1.0567363586571726e-11,2.304076645709176e-08
FTL,-6.869564,-327.8411,6.4398488365526225e-12,1.5164556040314114e-08
GPX1,-6.876019,-39.499535,6.15482096557925e-12,1.509726292681877e-08
RHOB,-6.9303517,-12.8606825,4.197956635436666e-12,1.0744943788180719e-08
BRI3,-7.1492953,-8.34447,8.722438141162424e-13,2.5674496668511594e-09
SAT1,-7.3962126,274.74985,1.401237259105596e-13,4.852402202561555e-10
CST3,-7.4736767,-25.821249,7.798464113159454e-14,2.8693473896356067e-10
SOD2,-7.994946,-30.810316,1.296308724183155e-15,5.719067267196028e-12
NEAT1,-8.182689,100.067276,2.775793955271602e-16,1.4855544558803565e-12
NAMPT,-8.461883,-35.402733,2.6309555873344515e-17,2.2126336489482737e-13
