species,tissue_class,tissue_type,cell_name,marker,pmid
Human,Spleen,Spleen,Mantle B cell,CD27,31892341
Human,Spleen,Spleen,Cytotoxic T cell,GNLY,31892341
Human,Spleen,Spleen,Activated dendritic cell,CCR7,31892341
Human,Spleen,Spleen,B cell,MS4A1,31892341
Human,Spleen,Spleen,Naïve cell,LEFT,31892341
Human,Spleen,Spleen,B cell,CD79A,31892341
Human,Spleen,Spleen,CD8+ T cell,CD3E,31892341
Human,Spleen,Spleen,Plasma cell,SDC1,31892341
Human,Eye,Eye,CD8+ T cell,LAG3,31980621
Human,Eye,Retina,Rod cell,NRL,32023475
Human,Eye,Retina,Neuron,OTX2,32023475
Human,Eye,Retina,Later-stage progenitor cell,Rgs16,32023475
Human,Eye,Retina,Glial cell,SLC1A3,32023475
Human,Eye,Retina,Forebrain cell,FOXG1+,32023475
Human,Eye,Retina,Glial cell,RLBP1,32023475
Human,Eye,Retina,Neuron,AP2A,32023475
Human,Eye,Retina,Forebrain cell,SOX1,32023475
Human,Eye,Retina,Progenitor cell,SOX2,32023475
Human,Eye,Retina,Later-stage progenitor cell,Fabp7,32023475
Human,Eye,Retina,Photoreceptor cell,OTX2,32023475
Human,Eye,Retina,Bipolar cell,VSX1,32023475
Human,Eye,Retina,T helper 1(Th1) cell,ATOH7,32023475
Human,Eye,Retina,Bipolar cell,RCVRN,32023475
Human,Eye,Retina,Bipolar cell,GRM6,32023475
Human,Eye,Retina,Bipolar cell,OTX2,32023475
Human,Eye,Retina,Neuron,NEFL,32023475
Human,Eye,Retina,Neuron,ONECUT2,32023475
Human,Eye,Retina,Progenitor cell,VSX2,32023475
Human,Eye,Retina,Ganglion cell,SNCG,32023475
Human,Eye,Retina,Photoreceptor cell,RCVRN,32023475
Human,Gastrointestinal tract,Stomach,Naïve or central memory  T cell,CCR7,32060101
Human,Gastrointestinal tract,Stomach,Cytotoxic cell,NKG7,32060101
Human,Gastrointestinal tract,Stomach,CD8 T cell,CD8B,32060101
Human,Gastrointestinal tract,Stomach,Fibroblast,THY1,32060101
Human,Gastrointestinal tract,Stomach,Cytotoxic cell,GZMA,32060101
Human,Gastrointestinal tract,Stomach,CD8 T cell,CD8A,32060101
Human,Gastrointestinal tract,Stomach,Smooth muscle cell,ACTA2,32060101
Human,Gastrointestinal tract,Stomach,Gastric neuroendocrine cell,GAST,32060101
Human,Gastrointestinal tract,Stomach,Endothelial cell,VWF,32060101
Human,Gastrointestinal tract,Stomach,Fibroblast,DCN,32060101
Human,Gastrointestinal tract,Stomach,Macrophage,CD14,32060101
Human,Gastrointestinal tract,Stomach,Cytotoxic cell,KLRD1,32060101
Human,Gastrointestinal tract,Stomach,Cytotoxic cell,PRF1,32060101
Human,Gastrointestinal tract,Stomach,Intestinal epithelial cell,MUC2,32060101
Human,Gastrointestinal tract,Stomach,Pericyte,PDGFRB,32060101
Human,Gastrointestinal tract,Stomach,Myofibroblast,ACTA2,32060101
Human,Gastrointestinal tract,Stomach,Natural killer cell,GNLY,32060101
Human,Gastrointestinal tract,Stomach,Natural killer cell,NCR1,32060101
Human,Gastrointestinal tract,Stomach,Cytotoxic cell,GZMB,32060101
Human,Gastrointestinal tract,Stomach,Antrum gastric epithelial cell,PDX1,32060101
Human,Gastrointestinal tract,Stomach,Fibroblast,LUM,32060101
Human,Gastrointestinal tract,Stomach,Macrophage,CD68,32060101
Human,Gastrointestinal tract,Stomach,Dendritic cell,CLEC4C,32060101
Human,Gastrointestinal tract,Stomach,Gastric neuroendocrine cell,CHGA,32060101
Human,Gastrointestinal tract,Stomach,Cytotoxic cell,GZMH,32060101
Human,Gastrointestinal tract,Stomach,Fibroblast,COL1A1,32060101
Human,Gastrointestinal tract,Stomach,Mast cell,CPA3,32060101
Human,Gastrointestinal tract,Stomach,Naïve or central memory  T cell,SELL,32060101
Human,Gastrointestinal tract,Stomach,Endothelial cell,SELP,32060101
Human,Gastrointestinal tract,Stomach,Regulatory T(Treg) cell,IL2RA,32060101
Human,Gastrointestinal tract,Stomach,Macrophage,CD163,32060101
Human,Gastrointestinal tract,Stomach,Myofibroblast,THY1,32060101
Human,Gastrointestinal tract,Stomach,Gastric parietal cell,GIF,32060101
Human,Gastrointestinal tract,Stomach,Endothelial cell,PECAM1,32060101
Human,Gastrointestinal tract,Stomach,Cytotoxic cell,KLRK1,32060101
Human,Gastrointestinal tract,Stomach,Dendritic cell,CD83,32060101
Human,Gastrointestinal tract,Stomach,Dendritic cell,IRF4,32060101
Human,Gastrointestinal tract,Stomach,Myofibroblast,CAV1,32060101
Human,Gastrointestinal tract,Stomach,T cell,CD3D,32060101
Human,Gastrointestinal tract,Stomach,Myofibroblast,DCN,32060101
Human,Gastrointestinal tract,Stomach,Fibroblast,COL14A1,32060101
Human,Gastrointestinal tract,Stomach,Tissue resident effector memory T cell,CD69,32060101
Human,Gastrointestinal tract,Stomach,Myofibroblast,COL14A1,32060101
Human,Gastrointestinal tract,Stomach,Mast cell,TPSAB1,32060101
Human,Gastrointestinal tract,Stomach,Antrum gastric epithelial cell,GAST,32060101
Human,Gastrointestinal tract,Stomach,Monocyte,FCGR3A,32060101
Human,Gastrointestinal tract,Stomach,Gastric stem cell,LGR5,32060101
Human,Gastrointestinal tract,Stomach,B cell,CD79,32060101
Human,Gastrointestinal tract,Stomach,Gastric neuroendocrine cell,EPCAM,32060101
Human,Gastrointestinal tract,Stomach,T cell,CD3E,32060101
Human,Gastrointestinal tract,Stomach,Dendritic cell,ID2,32060101
Human,Gastrointestinal tract,Stomach,Endothelial cell,SELE,32060101
Human,Gastrointestinal tract,Stomach,Epithelial cell,MUC5AC,32060101
Human,Gastrointestinal tract,Stomach,Gastric neuroendocrine cell,SST,32060101
Human,Gastrointestinal tract,Stomach,T cell,CD3G,32060101
Human,Gastrointestinal tract,Stomach,Monocyte,CD14,32060101
Human,Gastrointestinal tract,Stomach,Epithelial cell,TFF2,32060101
Human,Gastrointestinal tract,Stomach,Cytotoxic cell,CTSW,32060101
Human,Gastrointestinal tract,Stomach,Myofibroblast,COL1A1,32060101
Human,Gastrointestinal tract,Stomach,Regulatory T(Treg) cell,FOXP3,32060101
Human,Gastrointestinal tract,Stomach,Natural killer cell,XCL2,32060101
Human,Gastrointestinal tract,Stomach,Cytotoxic cell,GNLY,32060101
Human,Gastrointestinal tract,Stomach,Macrophage,FCGR3A,32060101
Human,Gastrointestinal tract,Stomach,Gastric stem cell,TROY,32060101
Human,Gastrointestinal tract,Stomach,Fibroblast,CAV1,32060101
Human,Gastrointestinal tract,Stomach,Cytotoxic cell,KLRB1,32060101
Human,Gastrointestinal tract,Stomach,Myofibroblast,LUM,32060101
Human,Gastrointestinal tract,Stomach,Plasma cell,SDC1,32060101
Human,Gastrointestinal tract,Stomach,Natural killer cell,NKG7,32060101
Human,Gastrointestinal tract,Stomach,Tissue resident effector memory T cell,ITGAE,32060101
Human,Gastrointestinal tract,Stomach,Epithelial cell,TFF1,32060101
Human,Gastrointestinal tract,Stomach,Gastric neuroendocrine cell,TFF3,32060101
Human,Gastrointestinal tract,Stomach,Dendritic cell,HLA-DQA2,32060101
Human,Gastrointestinal tract,Stomach,B cell,MS4A1,32060101
Human,Gastrointestinal tract,Stomach,Dendritic cell,IL3RA,32060101
Human,Gastrointestinal tract,Stomach,Mast cell,MS4A2,32060101
Human,Gastrointestinal tract,Stomach,B cell,CD19,32060101
Human,Gastrointestinal tract,Stomach,Endothelial cell,ENG,32060101
Human,Gastrointestinal tract,Stomach,Tissue resident effector memory T cell,ITGA1,32060101
Human,Gastrointestinal tract,Stomach,Pericyte,RGS5,32060101
Human,Gastrointestinal tract,Stomach,Mast cell,TPSB2,32060101
Human,Gastrointestinal tract,Stomach,Epithelial cell,PGC,32060101
Human,Gastrointestinal tract,Stomach,Epithelial cell,MUC6,32060101
Mouse,Eye,Retina,Ganglion cell,Zic1,32071204
Mouse,Eye,Retina,Ganglion cell,Tfap2d,32071204
Mouse,Eye,Retina,Ganglion cell,Rbpms2,32071204
Mouse,Eye,Retina,Ganglion cell,Mapt,32071204
Mouse,Eye,Retina,Ganglion cell,Irx3,32071204
Mouse,Eye,Retina,Ganglion cell,Nefm,32071204
Human,Blood,Blood,Myeloid cell,S100A8,32114394
Human,Blood,Blood,Plasmacytoid dendritic cell(pDC),MZB1,32114394
Human,Blood,Blood,B cell,ADAM28,32114394
Human,Blood,Blood,Myeloid cell,PF4,32114394
Human,Blood,Blood,Dendritic cell,CLEC10A,32114394
Human,Blood,Blood,T cell,CD247,32114394
Human,Blood,Blood,B cell,IGJ,32114394
Human,Blood,Blood,B cell,CXCR4,32114394
Human,Blood,Blood,T cell,GIMAP7,32114394
Human,Blood,Blood,Myeloid cell,FCN1,32114394
Human,Blood,Blood,Myeloid cell,CLEC4C,32114394
Human,Blood,Blood,Plasmacytoid dendritic cell(pDC),ITM2C,32114394
Human,Blood,Blood,B cell,FCER2,32114394
Human,Blood,Blood,T cell,IFITM1,32114394
Human,Blood,Blood,T cell,LCK,32114394
Human,Blood,Blood,B cell,BANK1,32114394
Human,Blood,Blood,Myeloid cell,CD14,32114394
Human,Blood,Blood,Plasmacytoid dendritic cell(pDC),CLEC4C,32114394
Human,Blood,Blood,Myeloid cell,MS4A6A,32114394
Human,Blood,Blood,B cell,TCF4,32114394
Human,Blood,Blood,B cell,PMAIP1,32114394
Human,Blood,Blood,CD4+ T cell,TNFSF3,32114394
Human,Blood,Blood,Myeloid cell,LST1,32114394
Human,Blood,Blood,B cell,CR1P1,32114394
Human,Blood,Blood,Myeloid cell,CDKN1C,32114394
Human,Blood,Blood,B cell,VPREB3,32114394
Human,Blood,Blood,B cell,TCL1A,32114394
Human,Blood,Blood,Myeloid cell,FCGR3A,32114394
Human,Blood,Blood,Myeloid cell,CST4,32114394
Human,Blood,Blood,Myeloid cell,SERPINA1,32114394
Human,Blood,Blood,Plasmacytoid dendritic cell(pDC),LILRA4,32114394
Human,Blood,Blood,Myeloid cell,MNDA,32114394
Mouse,Blood,Blood,Stem cell,Ly6a,32166394
Human,Eye,Retina,Neuron,MAP2,32231223
Human,Eye,Retina,Epithelial cell,BEST-1,32231223
Human,Eye,Retina,Epithelial cell,MITF,32231223
Human,Eye,Retina,Epithelial cell,RPE65,32231223
Human,Eye,Retina,Neuron,TUBB3,32231223
Human,Eye,Retina,Epithelial cell,TYR,32231223
Human,Eye,Retina,Neuron,POU5F1,32231223
Human,Blood,Peripheral blood,Natural killer cell,CD16,32251406
Human,Blood,Peripheral blood,Natural killer cell,KLRF1,32251406
Mouse,Eye,Choroid,Leukocyte,Ptprc,32268117
Mouse,Eye,Choroid,Smooth muscle cell,Acta2,32268117
Mouse,Eye,Choroid,Fibroblast,Col1a1,32268117
Mouse,Eye,Choroid,Pericyte,Pdgfrb,32268117
Mouse,Eye,Choroid,Endothelial cell,Pecam1,32268117
Mouse,Eye,Choroid,Lymphatic endothelial cell,Prox1,32268117
Mouse,Eye,Choroid,Endothelial cell,Cdh5,32268117
Human,Blood,Blood,Natural regulatory T cell,CTLA4,32286271
Human,Blood,Blood,Natural regulatory T cell,HLA-DPB1,32286271
Human,Blood,Blood,Natural regulatory T cell,CD74,32286271
Human,Blood,Blood,Finally highly effector (TEMRA) memory T cell,GZMH,32286271
Human,Blood,Blood,Finally highly effector (TEMRA) memory T cell,CST7,32286271
Human,Blood,Blood,CD4+ T cell,LRRN3,32286271
Human,Blood,Blood,Effector memory T cell,GZMK,32286271
Human,Blood,Blood,Finally highly effector (TEMRA) memory T cell,NKG7,32286271
Human,Blood,Blood,Finally highly effector (TEMRA) memory T cell,GZMA,32286271
Human,Blood,Blood,CD4+ T cell,CCR7,32286271
Human,Blood,Blood,Finally highly effector (TEMRA) memory T cell,CCL5,32286271
Human,Blood,Blood,Natural regulatory T cell,ITGB1,32286271
Human,Blood,Blood,Natural regulatory T cell,ANXA2,32286271
Human,Blood,Blood,Finally highly effector (TEMRA) memory T cell,CCL4,32286271
Human,Blood,Blood,Naive T(Th0) cell,CCR7,32286271
Human,Blood,Blood,Natural regulatory T cell,HLA-DRB1.1,32286271
Human,Blood,Blood,Natural regulatory T cell,HLA-DRB1,32286271
Human,Blood,Blood,Finally highly effector (TEMRA) memory T cell,GNLY,32286271
Human,Blood,Blood,Naive T(Th0) cell,LRRN3,32286271
Human,Blood,Blood,Naive T(Th0) cell,SELL,32286271
Human,Blood,Blood,Effector memory T cell,KLRB1,32286271
Human,Blood,Blood,Natural regulatory T cell,LGALS3,32286271
Human,Blood,Blood,Effector memory T cell,IL7R,32286271
Human,Blood,Blood,CD4+ T cell,SELL,32286271
Human,Blood,Blood,Naive T(Th0) cell,NPM1,32286271
Human,Blood,Blood,Natural regulatory T cell,IL2RA,32286271
Human,Blood,Blood,Central memory T cell,PASK,32286271
Human,Blood,Blood,Natural regulatory T cell,VIM,32286271
Human,Blood,Blood,Natural regulatory T cell,LGALS1,32286271
Human,Blood,Blood,Effector memory T cell,TNFSF13B,32286271
Human,Blood,Blood,Natural regulatory T cell,FOXP3,32286271
Human,Blood,Blood,Monocyte,LYZ,32286626
Human,Blood,Blood,Monocyte,FCGR3A,32286626
Human,Blood,Blood,Dendritic cell,FCER1A,32286626
Human,Blood,Blood,Monocyte,CD14,32286626
Human,Blood,Blood,Natural killer cell,GNLY,32286626
Human,Blood,Blood,T cell,IL7R,32286626
Human,Blood,Blood,B cell,CD19,32286626
Human,Eye,Eye,Endothelial cell,CCL21,32341164
Human,Eye,Eye,Endothelial cell,CD31,32341164
Human,Eye,Eye,Endothelial cell,FLT4,32341164
Human,Gastrointestinal tract,Gastrointestinal tract,Stem cell,SOX9,32345613
Human,Undefined,Undefined,Macrophage,CD163,32345613
Human,Undefined,Undefined,Stromal cell,vimentin,32345613
Human,Undefined,Undefined,Cancer stem cell,CD133,32345613
Human,Undefined,Undefined,Cancer stem cell,CD49f,32345613
Human,Undefined,Undefined,Cancer stem cell,CD49f,32345613
Human,Undefined,Undefined,Cancer stem cell,CD133,32345613
Human,Undefined,Undefined,Cancer stem cell,HES1,32345613
Human,Undefined,Undefined,Cancer stem cell,ALDH1,32345613
Human,Undefined,Undefined,Immune cell,CD45,32345613
Human,Undefined,Undefined,Epithelial cell,EpCAM,32345613
Human,Blood,Umbilical cord blood,CD4+ T cell,TIGIT,32351504
Human,Blood,Umbilical cord blood,CD4+ T cell,TNFRSF9,32351504
Human,Blood,Umbilical cord blood,CD4+ T cell,IKZF2,32351504
Human,Blood,Umbilical cord blood,CD4+ T cell,FOXP3,32351504
Human,Blood,Blood,Naive CD4 T cell,TCF7,32351704
Human,Blood,Blood,Naive CD4 T cell,MAL,32351704
Human,Blood,Blood,Naive CD4 T cell,CCR7,32351704
Human,Blood,Blood,Naive CD4 T cell,MYC,32351704
Human,Blood,Blood,Megakaryocyte,SPARC,32351704
Human,Blood,Blood,Effector memory T cell,TIMP1,32351704
Human,Blood,Blood,Megakaryocyte,PPBP,32351704
Human,Blood,Blood,Naive CD8+ T cell,RCAN3,32351704
Human,Blood,Blood,Megakaryocyte,ITGA2B,32351704
Human,Blood,Blood,Megakaryocyte,TUBB1,32351704
Human,Blood,Blood,Naive CD8+ T cell,MAL,32351704
Human,Blood,Blood,Megakaryocyte,PF4,32351704
Human,Blood,Blood,Megakaryocyte,NRGN,32351704
Human,Blood,Blood,Central memory CD4+ T cell,CCR7,32351704
Human,Blood,Blood,Naive CD4 T cell,TSHZ2,32351704
Human,Blood,Blood,Naive CD8+ T cell,NOSIP,32351704
Human,Blood,Blood,Effector memory T cell,LTB,32351704
Human,Blood,Blood,Effector memory T cell,TNFRSF4,32351704
Human,Blood,Blood,Megakaryocyte,PIG6B,32351704
Human,Blood,Blood,Central memory CD8+ T cell,MYC,32351704
Human,Blood,Blood,Effector memory T cell,CD52,32351704
Human,Blood,Blood,Naive CD8+ T cell,LEF1,32351704
Human,Blood,Blood,Megakaryocyte,GNG11,32351704
Human,Blood,Blood,Naive CD8+ T cell,SELL,32351704
Human,Blood,Blood,Conventional dendritic cell 2(cDC2),PPA1,32351704
Human,Blood,Blood,Megakaryocyte,CAVIN2,32351704
Human,Blood,Blood,Central memory CD4+ T cell,MAL,32351704
Human,Blood,Blood,Regulatory T(Treg) cell,CORO1B,32351704
Human,Blood,Blood,Central memory CD8+ T cell,SELL,32351704
Human,Blood,Blood,Naive B cell,PLPP5,32351704
Human,Blood,Blood,Naive CD8+ T cell,TCF7,32351704
Human,Blood,Blood,Central memory CD4+ T cell,SELL,32351704
Human,Blood,Blood,Central memory CD4+ T cell,TSHZ2,32351704
Human,Blood,Blood,Conventional dendritic cell 2(cDC2),FCER1A,32351704
Human,Blood,Blood,Effector memory CD8+ T cell,CD8A,32351704
Human,Blood,Blood,Naive B cell,IGHD,32351704
Human,Blood,Blood,Megakaryocyte,MYL9,32351704
Human,Blood,Blood,Regulatory T(Treg) cell,FANK1,32351704
Human,Blood,Blood,Central memory CD4+ T cell,LEF1,32351704
Human,Blood,Blood,Conventional dendritic cell 2(cDC2),HLA-DQA1,32351704
Human,Blood,Blood,Naive B cell,APLP2,32351704
Human,Blood,Blood,Naive CD8+ T cell,SOCS3,32351704
Human,Blood,Blood,Regulatory T(Treg) cell,FOXP3,32351704
Human,Blood,Blood,Effector memory CD8+ T cell,CD52,32351704
Human,Blood,Blood,Regulatory T(Treg) cell,ARID5B,32351704
Human,Blood,Blood,Central memory CD8+ T cell,MAL,32351704
Human,Blood,Blood,Effector memory T cell,AQP3,32351704
Human,Blood,Blood,Effector memory T cell,IL7R,32351704
Human,Blood,Blood,Regulatory T(Treg) cell,RTKN2,32351704
Human,Blood,Blood,Central memory CD4+ T cell,TCF7,32351704
Human,Blood,Blood,Effector memory CD8+ T cell,CXCR3,32351704
Human,Blood,Blood,Plasma cell,JCHAIN,32351704
Human,Blood,Blood,Naive CD4 T cell,NOSIP,32351704
Human,Blood,Blood,Naive CD4 T cell,SOCS3,32351704
Human,Blood,Blood,Central memory CD8+ T cell,SOCS3,32351704
Human,Blood,Blood,Plasma cell,DPEP1,32351704
Human,Blood,Blood,Naive B cell,IGHM,32351704
Human,Blood,Blood,Central memory CD8+ T cell,LEF1,32351704
Human,Blood,Blood,Naive B cell,CXCR4,32351704
Human,Blood,Blood,Central memory CD8+ T cell,NOSIP,32351704
Human,Blood,Blood,Naive B cell,TCL1A,32351704
Human,Blood,Blood,Central memory CD8+ T cell,RCAN3,32351704
Human,Blood,Blood,Conventional dendritic cell 2(cDC2),CD1C,32351704
Human,Blood,Blood,Central memory CD4+ T cell,MYC,32351704
Human,Blood,Blood,Effector memory CD8+ T cell,CD8B,32351704
Human,Blood,Blood,Effector memory CD8+ T cell,ITGA1,32351704
Human,Blood,Blood,Naive B cell,IL4R,32351704
Human,Blood,Blood,Naive B cell,FCER2,32351704
Human,Blood,Blood,Central memory CD8+ T cell,TCF7,32351704
Human,Blood,Blood,Regulatory T(Treg) cell,CTLA4,32351704
Human,Blood,Blood,Central memory CD8+ T cell,TSHZ2,32351704
Human,Blood,Blood,Central memory CD4+ T cell,NOSIP,32351704
Human,Blood,Blood,Central memory CD4+ T cell,SOCS3,32351704
Human,Blood,Blood,Naive CD8+ T cell,TSHZ2,32351704
Human,Blood,Blood,Regulatory T(Treg) cell,GBP2,32351704
Human,Blood,Blood,Plasma cell,IGKC,32351704
Human,Blood,Blood,Naive CD8+ T cell,MYC,32351704
Human,Blood,Blood,Naive CD8+ T cell,CCR7,32351704
Human,Blood,Blood,Plasma cell,IGHA2,32351704
Human,Blood,Blood,Conventional dendritic cell 2(cDC2),HLA-DQB1,32351704
Human,Blood,Blood,Naive CD4 T cell,SELL,32351704
Human,Blood,Blood,Regulatory T(Treg) cell,IL2RA,32351704
Human,Blood,Blood,Central memory CD8+ T cell,CCR7,32351704
Human,Blood,Blood,Naive CD4 T cell,LEF1,32351704
Human,Blood,Blood,Regulatory T(Treg) cell,ICA1,32351704
Human,Liver,Liver,Effector memory T cell,TNFRSF4,32351704
Human,Liver,Liver,Effector memory T cell,TIMP1,32351704
Human,Liver,Liver,Central memory CD4+ T cell,MAL,32351704
Human,Liver,Liver,Central memory CD4+ T cell,SELL,32351704
Human,Liver,Liver,Central memory CD4+ T cell,CCR7,32351704
Human,Liver,Liver,Central memory CD4+ T cell,MYC,32351704
Human,Liver,Liver,Plasmacytoid dendritic cell(pDC),BCL11A,32351704
Human,Liver,Liver,Effector memory T cell,LTB,32351704
Human,Liver,Liver,Naive B cell,PLPP5,32351704
Human,Liver,Liver,T follicular helper(Tfh) cell,CD40LG,32351704
Human,Liver,Liver,Plasma cell,IGHA2,32351704
Human,Liver,Liver,Macrophage,FABP4,32351704
Human,Liver,Liver,T follicular helper(Tfh) cell,GPR183,32351704
Human,Liver,Liver,Central memory CD4+ T cell,NOSIP,32351704
Human,Liver,Liver,Central memory CD4+ T cell,TCF7,32351704
Human,Liver,Liver,Naive CD4 T cell,CCR7,32351704
Human,Liver,Liver,T follicular helper(Tfh) cell,MALAT1,32351704
Human,Liver,Liver,Macrophage,SLC40A1,32351704
Human,Liver,Liver,Effector memory T cell,CD52,32351704
Human,Liver,Liver,Effector memory T cell,IL7R,32351704
Human,Liver,Liver,Macrophage,APOC1,32351704
Human,Liver,Liver,Naive CD8+ T cell,SOCS3,32351704
Human,Liver,Liver,Effector memory CD8+ T cell,CD8A,32351704
Human,Liver,Liver,Naive B cell,CXCR4,32351704
Human,Liver,Liver,T follicular helper(Tfh) cell,LTB,32351704
Human,Liver,Liver,Naive CD4 T cell,TCF7,32351704
Human,Liver,Liver,Naive CD8+ T cell,LEF1,32351704
Human,Liver,Liver,Macrophage,FTL,32351704
Human,Liver,Liver,Plasmacytoid dendritic cell(pDC),IRF8,32351704
Human,Liver,Liver,Plasma cell,DPEP1,32351704
Human,Liver,Liver,Central memory CD8+ T cell,NOSIP,32351704
Human,Liver,Liver,Conventional dendritic cell 2(cDC2),PPA1,32351704
Human,Liver,Liver,Naive CD4 T cell,SOCS3,32351704
Human,Liver,Liver,Plasmacytoid dendritic cell(pDC),CCDC50,32351704
Human,Liver,Liver,Plasmacytoid dendritic cell(pDC),TCF4,32351704
Human,Liver,Liver,Central memory CD8+ T cell,LEF1,32351704
Human,Liver,Liver,Plasmacytoid dendritic cell(pDC),SPIB,32351704
Human,Liver,Liver,Central memory CD4+ T cell,LEF1,32351704
Human,Liver,Liver,Effector memory CD8+ T cell,ITGA1,32351704
Human,Liver,Liver,Central memory CD8+ T cell,SOCS3,32351704
Human,Liver,Liver,Regulatory T(Treg) cell,FOXP3,32351704
Human,Liver,Liver,Macrophage,FABP5,32351704
Human,Liver,Liver,Naive B cell,TCL1A,32351704
Human,Liver,Liver,Naive CD8+ T cell,TSHZ2,32351704
Human,Liver,Liver,Naive CD8+ T cell,RCAN3,32351704
Human,Liver,Liver,Naive CD8+ T cell,NOSIP,32351704
Human,Liver,Liver,Naive CD4 T cell,MAL,32351704
Human,Liver,Liver,Regulatory T(Treg) cell,CTLA4,32351704
Human,Liver,Liver,Macrophage,CD5L,32351704
Human,Liver,Liver,T follicular helper(Tfh) cell,CXCR5,32351704
Human,Liver,Liver,Plasmacytoid dendritic cell(pDC),IRF7,32351704
Human,Liver,Liver,Regulatory T(Treg) cell,GBP2,32351704
Human,Liver,Liver,Plasmacytoid dendritic cell(pDC),ITM2C,32351704
Human,Liver,Liver,Effector memory CD8+ T cell,CXCR3,32351704
Human,Liver,Liver,Regulatory T(Treg) cell,FANK1,32351704
Human,Liver,Liver,Effector memory CD8+ T cell,CD8B,32351704
Human,Liver,Liver,Naive B cell,IGHM,32351704
Human,Liver,Liver,Conventional dendritic cell 2(cDC2),HLA-DQB1,32351704
Human,Liver,Liver,Naive CD4 T cell,MYC,32351704
Human,Liver,Liver,Central memory CD8+ T cell,MAL,32351704
Human,Liver,Liver,Effector memory CD8+ T cell,CD52,32351704
Human,Liver,Liver,Macrophage,MRC1,32351704
Human,Liver,Liver,Macrophage,LGMN,32351704
Human,Liver,Liver,Regulatory T(Treg) cell,ICA1,32351704
Human,Liver,Liver,Central memory CD4+ T cell,TSHZ2,32351704
Human,Liver,Liver,Central memory CD4+ T cell,SOCS3,32351704
Human,Liver,Liver,Plasmacytoid dendritic cell(pDC),C12orf75,32351704
Human,Liver,Liver,Macrophage,APOE,32351704
Human,Liver,Liver,Effector memory T cell,AQP3,32351704
Human,Liver,Liver,Plasmacytoid dendritic cell(pDC),LILRA4,32351704
Human,Liver,Liver,Naive CD4 T cell,NOSIP,32351704
Human,Liver,Liver,Naive CD4 T cell,LEF1,32351704
Human,Liver,Liver,Central memory CD8+ T cell,TCF7,32351704
Human,Liver,Liver,Central memory CD8+ T cell,MYC,32351704
Human,Liver,Liver,Conventional dendritic cell 1(cDC1),HIST1H4C,32351704
Human,Liver,Liver,Naive CD4 T cell,TSHZ2,32351704
Human,Liver,Liver,Naive CD4 T cell,SELL,32351704
Human,Liver,Liver,Central memory CD8+ T cell,SELL,32351704
Human,Liver,Liver,Central memory CD8+ T cell,CCR7,32351704
Human,Liver,Liver,Regulatory T(Treg) cell,ARID5B,32351704
Human,Liver,Liver,Macrophage,MARCO,32351704
Human,Liver,Liver,Central memory CD8+ T cell,RCAN3,32351704
Human,Liver,Liver,Plasma cell,IGKC,32351704
Human,Liver,Liver,Macrophage,NUPR1,32351704
Human,Liver,Liver,Naive CD8+ T cell,SELL,32351704
Human,Liver,Liver,Conventional dendritic cell 2(cDC2),HLA-DQA1,32351704
Human,Liver,Liver,Naive CD8+ T cell,MYC,32351704
Human,Liver,Liver,Conventional dendritic cell 2(cDC2),CD1C,32351704
Human,Liver,Liver,Macrophage,HMOX1,32351704
Human,Liver,Liver,Naive CD8+ T cell,CCR7,32351704
Human,Liver,Liver,Regulatory T(Treg) cell,RTKN2,32351704
Human,Liver,Liver,Regulatory T(Treg) cell,IL2RA,32351704
Human,Liver,Liver,Naive CD8+ T cell,MAL,32351704
Human,Liver,Liver,Conventional dendritic cell 1(cDC1),CLEC9A,32351704
Human,Liver,Liver,Macrophage,SELENOP,32351704
Human,Liver,Liver,Regulatory T(Treg) cell,CORO1B,32351704
Human,Liver,Liver,Naive CD8+ T cell,TCF7,32351704
Human,Liver,Liver,Naive B cell,FCER2,32351704
Human,Liver,Liver,Conventional dendritic cell 2(cDC2),FCER1A,32351704
Human,Liver,Liver,Central memory CD8+ T cell,TSHZ2,32351704
Human,Liver,Liver,Naive B cell,APLP2,32351704
Human,Liver,Liver,Naive B cell,IL4R,32351704
Human,Liver,Liver,Conventional dendritic cell 1(cDC1),PTTG1,32351704
Human,Liver,Liver,Naive B cell,IGHD,32351704
Human,Liver,Liver,Plasma cell,JCHAIN,32351704
Human,Spleen,Spleen,Naive CD8 T cell,TCF7,32351704
Human,Spleen,Spleen,Naive B cell,APLP2,32351704
Human,Spleen,Spleen,Naive CD8 T cell,CCR7,32351704
Human,Spleen,Spleen,Naive CD8 T cell,MAL,32351704
Human,Spleen,Spleen,Central memory CD4+ T cell,CCR7,32351704
Human,Spleen,Spleen,Conventional dendritic cell 1(cDC1),PTTG1,32351704
Human,Spleen,Spleen,Central memory CD4+ T cell,MYC,32351704
Human,Spleen,Spleen,Naive B cell,IGHD,32351704
Human,Spleen,Spleen,Megakaryocyte,GNG11,32351704
Human,Spleen,Spleen,Naive CD8 T cell,TSHZ2,32351704
Human,Spleen,Spleen,Naive B cell,CXCR4,32351704
Human,Spleen,Spleen,Naive CD8 T cell,SELL,32351704
Human,Spleen,Spleen,Naive CD8 T cell,RCAN3,32351704
Human,Spleen,Spleen,Plasma cell,IGKC,32351704
Human,Spleen,Spleen,Conventional dendritic cell 1(cDC1),CLEC9A,32351704
Human,Spleen,Spleen,Naive B cell,PLPP5,32351704
