species,tissue_class,tissue_type,cell_name,marker,pmid
Mouse,Heart,Heart muscle,Epicardial cell,Gata5,31216470
Mouse,Heart,Heart muscle,Macrophage,Lys6c,31216470
Mouse,Heart,Heart muscle,Epicardial cell,Myrf,31216470
Mouse,Heart,Heart muscle,Epicardial cell, Wt1,31216470
Mouse,Fetal heart,Left ventricle,Left ventricular cell,Pln,31341279
Mouse,Fetal heart,Posterior second heart field,Posterior second heart field(pSHF) cell,Hoxb1,31341279
Mouse,Fetal heart,Endoderm,Endodermal cell,Foxa2,31341279
Mouse,Fetal heart,Posterior second heart field,Posterior second heart field(pSHF) cell,Hoxa1,31341279
Mouse,Fetal heart,Endoderm,Endodermal cell,Epcam,31341279
Mouse,Fetal heart,Outflow tract,Outflow tract(OFT) cell,Tdgf1,31341279
Mouse,Fetal heart,Ectoderm,Ectodermal cell,Sox2,31341279
Mouse,Fetal heart,Left ventricle,Left ventricular cell,Hand1,31341279
Mouse,Fetal heart,Ectoderm,Ectodermal cell,Pou3f1,31341279
Mouse,Gastrointestinal tract,Stomach,Stem cell,Mist1,31422913
Mouse,Gastrointestinal tract,Stomach,Stem cell,Bmi1,31422913
Mouse,Gastrointestinal tract,Stomach,Stem cell,Lgr5,31422913
Mouse,Gastrointestinal tract,Stomach,Stem cell,Lrig1,31422913
Mouse,Gastrointestinal tract,Stomach,Stem cell,Runx1,31422913
Mouse,Gastrointestinal tract,Stomach,Stem cell,Sox2,31422913
Mouse,Gastrointestinal tract,Stomach,Stem cell,Troy,31422913
Mouse,Stomach,Stomach,Neck cell,Muc6,31422913
Mouse,Stomach,Stomach,Pit cell,Muc5ac,31422913
Human,Eye,Retina,Cone photoreceptor cell,PDE6C,31436334
Human,Eye,Retina,Horizontal cell,ONECUT1,31436334
Human,Eye,Retina,Microglial cell,HLA‐DPA1,31436334
Human,Eye,Retina,Müller glial cell,RLBP1,31436334
Human,Eye,Retina,Cone photoreceptor cell,GNAT2,31436334
Human,Eye,Retina,Cone photoreceptor cell,CNBG3,31436334
Human,Eye,Retina,Cone photoreceptor cell,PDE6H,31436334
Human,Eye,Retina,Retinal ganglion cell,NEFL,31436334
Human,Eye,Retina,Cone photoreceptor cell,GUCA1C,31436334
Human,Eye,Retina,Cone photoreceptor cell,THRB,31436334
Human,Eye,Retina,Cone photoreceptor cell,GRK7,31436334
Human,Eye,Retina,Retinal ganglion cell,SNCG,31436334
Human,Eye,Retina,Müller glial cell,CRALBP,31436334
Human,Eye,Retina,Cone photoreceptor cell,GNGT2,31436334
Human,Eye,Retina,Horizontal cell,ONECUT2,31436334
Human,Eye,Retina,Retinal astrocyte,GFAP,31436334
Human,Eye,Retina,Rod cell,CNGA1,31436334
Human,Eye,Retina,Retinal ganglion cell,GAP43,31436334
Human,Eye,Retina,Rod cell,PDE6A,31436334
Human,Eye,Retina,Amacrine cell,CALB1,31436334
Human,Eye,Retina,Cone photoreceptor cell,RXRG,31436334
Human,Eye,Retina,Bipolar cell,OTX2,31436334
Human,Eye,Retina,Rod cell,RHO,31436334
Human,Eye,Retina,Bipolar cell,VSX2,31436334
Human,Eye,Retina,Microglial cell,HLA‐DRA,31436334
Human,Eye,Retina,Amacrine cell,CHAT,31436334
Human,Eye,Retina,Amacrine cell,GAD1,31436334
Human,Eye,Retina,Cone photoreceptor cell,OPN1LW,31436334
Human,Eye,Retina,Cone photoreceptor cell,ARR3,31436334
Human,Eye,Retina,Microglial cell,HLA‐DPB1,31436334
Human,Eye,Retina,Neurogenic retinal progenitor cell,NGN2,31543471
Human,Eye,Retina,Neurogenic retinal progenitor cell,EFNB2,31543471
Human,Eye,Retina,Multipotent retinal progenitor cell,TGFβ2,31543471
Human,Eye,Retina,Multipotent retinal progenitor cell,LIN28B,31543471
Human,Eye,Retina,Neurogenic retinal progenitor cell,ASCL1,31543471
Human,Eye,Retina,Neuron,DCX,31543471
Human,Eye,Retina,Neurogenic retinal progenitor cell,DCX,31543471
Human,Eye,Retina,Neurogenic retinal progenitor cell,GPM6A,31543471
Human,Eye,Retina,Multipotent retinal progenitor cell,IGFBP5,31543471
Human,Eye,Retina,Neurogenic retinal progenitor cell,RUFY3,31543471
Human,Eye,Retina,Neurogenic retinal progenitor cell,RTN4,31543471
Human,Eye,Retina,Neurogenic retinal progenitor cell,ISLR2,31543471
Human,Eye,Retina,Multipotent retinal progenitor cell,LIN28A,31543471
Human,Eye,Retina,Multipotent retinal progenitor cell,BMP7,31543471
Human,Eye,Retina,Neuron,SEMA5A,31543471
Human,Eye,Retina,Neurogenic retinal progenitor cell,GPM6B,31543471
Human,Eye,Retina,Multipotent retinal progenitor cell,PFN1,31543471
Human,Eye,Retina,Multipotent retinal progenitor cell,TMSB10,31543471
Human,Eye,Retina,Neuron,NRCAM,31543471
Human,Eye,Retina,Multipotent retinal progenitor cell,GJA1,31543471
Human,Eye,Retina,Multipotent retinal progenitor cell,ATP1A2,31543471
Human,Eye,Retina,Adult neural stem cell,GJA1,31543471
Human,Eye,Retina,Multipotent retinal progenitor cell,JAG1,31543471
Human,Eye,Retina,Adult neural stem cell,ATP1A2,31543471
Human,Eye,Retina,Neurogenic retinal progenitor cell,FZD3,31543471
Human,Eye,Retina,Neuron,DCLK1,31543471
Mouse,Eye,Retina,Rod photoreceptor cell,Nrl,31625146
Mouse,Eye,Retina,Horizontal cell,Calb1,31625146
Mouse,Eye,Retina,Retinal pigment epithelium,Lrat,31625146
Mouse,Eye,Retina,Amacrine cell,Pax6,31625146
Mouse,Eye,Retina,Amacrine cell,Tfap2a,31625146
Mouse,Eye,Retina,Rod photoreceptor cell,Rho,31625146
Mouse,Eye,Retina,Endothelial cell,Cldn5,31625146
Mouse,Eye,Retina,Müller glial cell,Vim,31625146
Mouse,Eye,Retina,Cone photoreceptor cell,Opn1mw,31625146
Mouse,Eye,Retina,Ganglion cell,Nefl,31625146
Mouse,Eye,Retina,Ganglion cell,Thy1,31625146
Mouse,Eye,Retina,Müller glial cell,Rlbp1,31625146
Mouse,Eye,Retina,Ganglion cell,Pou4f2,31625146
Mouse,Eye,Retina,Rod photoreceptor cell,Nr2e3,31625146
Mouse,Eye,Retina,Endothelial cell,Tie1,31625146
Mouse,Eye,Retina,Müller glial cell,Slc3a2,31625146
Mouse,Eye,Retina,Bipolar cell,Grik1,31625146
Mouse,Eye,Retina,Pericyte,Tagln,31625146
Mouse,Eye,Retina,Horizontal cell,Lhx1,31625146
Mouse,Eye,Retina,Pericyte,Acta2,31625146
Mouse,Eye,Retina,Müller glial cell,Glul,31625146
Mouse,Eye,Retina,Bipolar cell,Grm6,31625146
Mouse,Eye,Retina,Cone photoreceptor cell,Arr3,31625146
Mouse,Eye,Retina,Astrocyte,S100b,31625146
Mouse,Eye,Retina,Amacrine cell,Gad1,31625146
Mouse,Eye,Retina,Retinal pigment epithelium,RPE65,31625146
Mouse,Eye,Retina,Bipolar cell,Vsx2,31625146
Mouse,Eye,Retina,Astrocyte,Pax2,31625146
Human,Eye,Retina,Microglial cell,CD163,31653841
Human,Eye,Retina,Horizontal cell,ONECUT2,31653841
Human,Eye,Retina,Microglial cell,TMEM119,31653841
Human,Eye,Retina,Vascular cell,RGS5,31653841
Human,Eye,Retina,Retinal ganglion cell,NEFL,31653841
Human,Eye,Retina,Vascular cell,TM4SF1,31653841
Human,Eye,Retina,Rod cell,PPEF2,31653841
Human,Eye,Retina,Cone cell,OPN1SW,31653841
Human,Eye,Retina,Bipolar cell,TMEM215,31653841
Human,Eye,Retina,Amacrine cell,GAD1,31653841
Human,Eye,Retina,Retinal ganglion cell,NEFM,31653841
Human,Eye,Retina,Vascular cell,CD34,31653841
Human,Eye,Retina,Vascular cell,ADAMTS9,31653841
Human,Eye,Retina,Cone cell,OPN1MW,31653841
Human,Eye,Retina,Müller glial cell,GLUL,31653841
Human,Eye,Retina,Rod cell,PDE6A,31653841
Human,Eye,Retina,Amacrine cell,C1QL2,31653841
Human,Eye,Retina,Astrocyte,GLUL,31653841
Human,Eye,Retina,Rod cell,NR2E3,31653841
Human,Eye,Retina,Astrocyte,ΑΡΟΕ,31653841
Human,Eye,Retina,Cone cell,GNAT2,31653841
Human,Eye,Retina,Macroglial cell,COL4A3,31653841
Human,Eye,Retina,Retinal ganglion cell,SLC17A6,31653841
