pmid,marker_recall,marker_precision,tissue_cell_recall,tissue_cell_precision,standard_marker_count,test_marker_count,standard_tc_count,test_tc_count
30582448,0.25,0.020833333333333332,1.0,0.045454545454545456,4,48,1,22
30760918,1.0,0.1111111111111111,0.0,0.0,1,9,1,3
30787185,0.75,0.75,0.0,0.0,4,4,1,3
Average,0.6666666666666666,0.29398148148148145,0.3333333333333333,0.015151515151515152,9,61,3,28
Total,0.5555555555555556,0.0847457627118644,0.3333333333333333,0.038461538461538464,9,59,3,26
Global,0.5555555555555556,0.0847457627118644,0.3333333333333333,0.038461538461538464,9,59,3,26
