pmid,marker_recall,marker_precision,tissue_cell_recall,tissue_cell_precision,standard_marker_count,test_marker_count,standard_tc_count,test_tc_count
33545035,0.9,0.10843373493975904,0.0,0.0,10,83,6,68
33730555,1.0,0.3103448275862069,1.0,0.2727272727272727,18,58,6,22
33958447,0.25,0.16666666666666666,0.0,0.0,16,24,10,26
Average,0.7166666666666667,0.19514840973087755,0.3333333333333333,0.0909090909090909,44,165,22,116
Total,0.7045454545454546,0.1901840490797546,0.2727272727272727,0.05172413793103448,44,163,22,116
Global,0.7045454545454546,0.1901840490797546,0.2727272727272727,0.05172413793103448,44,163,22,116
