organ_tissue,cell_ontology_class
Lymph_Node,t cell
Lymph_Node,type i nk t cell
Mammary,b cell
Mammary,basal cell
Mammary,endothelial cell of artery
Mammary,endothelial cell of lymphatic vessel
Mammary,fibroblast of breast
Mammary,luminal epithelial cell of mammary gland
Mammary,macrophage
Mammary,mast cell
Mammary,nk cell
Mammary,pericyte cell
Mammary,plasma cell
Mammary,t cell
Mammary,vascular associated smooth muscle cell
Mammary,vein endothelial cell
Muscle,capillary endothelial cell
Muscle,"cd4-positive, alpha-beta t cell"
Muscle,"cd8-positive, alpha-beta t cell"
Muscle,endothelial cell of artery
Muscle,endothelial cell of lymphatic vessel
Muscle,endothelial cell of vascular tree
Muscle,erythrocyte
Muscle,fast muscle cell
Muscle,macrophage
Muscle,mast cell
Muscle,mature nk t cell
Muscle,mesenchymal stem cell
Muscle,mesothelial cell
Muscle,pericyte cell
Muscle,skeletal muscle satellite stem cell
Muscle,slow muscle cell
Muscle,smooth muscle cell
Muscle,t cell
Muscle,tendon cell
Pancreas,b cell
Pancreas,endothelial cell
Pancreas,fibroblast
Pancreas,mast cell
Pancreas,myeloid cell
Pancreas,nk cell
Pancreas,pancreatic acinar cell
Pancreas,pancreatic alpha cell
Pancreas,pancreatic beta cell
Pancreas,pancreatic delta cell
Pancreas,pancreatic ductal cell
Pancreas,pancreatic pp cell
Pancreas,pancreatic stellate cell
Pancreas,plasma cell
Pancreas,t cell
Prostate,basal cell of prostate epithelium
Prostate,"cd8-positive, alpha-beta t cell"
Prostate,cd8b-positive nk t cell
Prostate,club cell of prostate epithelium
Prostate,endothelial cell
Prostate,epithelial cell
Prostate,erythroid progenitor
Prostate,fibroblast
Prostate,hillock cell of prostate epithelium
Prostate,hillock-club cell of prostate epithelium
Prostate,luminal cell of prostate epithelium
Prostate,macrophage
Prostate,mast cell
Prostate,monocyte
Prostate,myeloid cell
Prostate,neutrophil
Prostate,nkt cell
Prostate,smooth muscle cell
Prostate,sperm
Prostate,stromal cell
Prostate,t cell
Salivary_Gland,acinar cell of salivary gland
Salivary_Gland,adventitial cell
Salivary_Gland,b cell
Salivary_Gland,basal cell
Salivary_Gland,cd4-positive helper t cell
Salivary_Gland,"cd4-positive, alpha-beta t cell"
Salivary_Gland,"cd8-positive, alpha-beta t cell"
Salivary_Gland,duct epithelial cell
Salivary_Gland,endothelial cell
Salivary_Gland,endothelial cell of lymphatic vessel
Salivary_Gland,fibroblast
Salivary_Gland,ionocyte
Salivary_Gland,macrophage
Salivary_Gland,memory b cell
Salivary_Gland,monocyte
Salivary_Gland,myoepithelial cell
Salivary_Gland,naive b cell
Salivary_Gland,neutrophil
Salivary_Gland,nk cell
Salivary_Gland,pericyte cell
Salivary_Gland,plasma cell
Salivary_Gland,salivary gland cell
Salivary_Gland,t cell
Skin,cd141-positive myeloid dendritic cell
Skin,cd1c-positive myeloid dendritic cell
Skin,cd4-positive helper t cell
Skin,"cd4-positive, alpha-beta memory t cell"
Skin,"cd8-positive, alpha-beta cytotoxic t cell"
Skin,"cd8-positive, alpha-beta memory t cell"
Skin,cell of skeletal muscle
Skin,endothelial cell
Skin,epithelial cell
Skin,langerhans cell
Skin,macrophage
Skin,mast cell
Skin,melanocyte
Skin,memory b cell
Skin,muscle cell
Skin,naive b cell
Skin,"naive thymus-derived cd4-positive, alpha-beta t cell"
Skin,"naive thymus-derived cd8-positive, alpha-beta t cell"
Skin,nk cell
Skin,nkt cell
Skin,plasma cell
Skin,regulatory t cell
Skin,smooth muscle cell
Skin,stromal cell
Skin,t cell
Small_Intestine,b cell
Small_Intestine,"cd4-positive, alpha-beta t cell"
Small_Intestine,"cd8-positive, alpha-beta t cell"
Small_Intestine,duodenum glandular cell
Small_Intestine,enterocyte of epithelium of small intestine
Small_Intestine,fibroblast
Small_Intestine,goblet cell
Small_Intestine,gut endothelial cell
