organ_tissue,cell_ontology_class,free_annotation
eye,corneal epithelial cell,cornea - epithelial cells
eye,corneal keratocyte,cornea - mesenchymal cells - stromal keratinocytes
eye,dendritic cell,dendritic cell
eye,dendritic cell,dendritic cells
eye,endothelial cell,endothelial
eye,endothelial cell,endothelial cell
eye,endothelial cell,endothelial cells
eye,endothelial cell,endothelial/kuppfer
eye,endothelial cell,endothelial_cells
eye,endothelial cell,endothelium
eye,endothelial cell,enodthelial cell
eye,epithelial cell of lacrimal sac,lacrimal cells - unspecified
eye,erythroid lineage cell,erythroid cells
eye,eye photoreceptor cell,retina - photoreceptor cells
eye,fibroblast,endometrial stromal fibbroblast
eye,fibroblast,fibroblast
eye,fibroblast,fibroblasts
eye,fibroblast,stellate/fibroblast
eye,fibroblast,uterine fibroblast
eye,lacrimal gland functional unit cell,lacrimal gland functional unit cells
eye,limbal stem cell,limbal stem cells
eye,limbal stromal cell,limbal stromal cells
eye,macrophage,macrophage
eye,macrophage,macrophages
eye,macrophage,monocyte/macrophage
eye,macrophage,sorted myeloid
eye,macrophage,tissue resident macrophage
eye,mast cell,mast cell
eye,mast cell,mast_cells
eye,mast cell,mast cells
eye,melanocyte,melanocytes
eye,melanocyte,melanocytes or limbal stem cells
eye,microglial cell,retina - microglia
eye,monocyte,monocyte
eye,monocyte,monocytes
eye,muller cell,retina - muller glia
eye,ocular surface cell,inflamed ocular surface cells
eye,plasma cell,plasma
eye,plasma cell,plasma cell
eye,plasma cell,plasma cells
eye,plasma cell,plasma_cells
eye,radial glial cell,radial glia progenitor cells
eye,retina horizontal cell,retina - horizontal cells
eye,retinal bipolar neuron,retina - bipolar cells
eye,retinal blood vessel endothelial cell,vascular endothelial cells
eye,retinal ganglion cell,retina - ganglion cells
eye,retinal pigment epithelial cell,retina - retinal pigment epithelium
eye,t cell,areg high t-cell
eye,t cell,areg low t-cell
eye,t cell,t cell
eye,t cell,t cell-low rna
eye,t cell,t cells
eye,t cell,t lymphocytes
eye,t cell,t-cells
eye,t cell,t_cells
eye,t cell,alpha beta t cell
eye,t cell,alpha-beta t cell
fat,b cell,b cell
fat,b cell,b cells
fat,b cell,b lymphocytes
fat,b cell,b_cells
fat,endothelial cell,endothelial
fat,endothelial cell,endothelial cell
fat,endothelial cell,endothelial cells
fat,endothelial cell,endothelial/kuppfer
fat,endothelial cell,endothelial_cells
fat,endothelial cell,endothelium
fat,endothelial cell,enodthelial cell
fat,fibroblast,endometrial stromal fibbroblast
fat,fibroblast,fibroblast
fat,fibroblast,fibroblasts
fat,fibroblast,stellate/fibroblast
fat,fibroblast,uterine fibroblast
fat,leucocyte,leucocytes
fat,macrophage,macrophage
fat,macrophage,macrophages
fat,macrophage,monocyte/macrophage
fat,macrophage,sorted myeloid
fat,macrophage,tissue resident macrophage
fat,mast cell,mast cell
fat,mast cell,mast_cells
fat,mast cell,mast cells
fat,mesenchymal stem cell,mesenchymal stem cells
fat,mesenchymal stem cell,mesenchymal stem cell
fat,myofibroblast cell,myofibroblasts
fat,myofibroblast cell,myofibroblast cell
fat,neutrophil,neutrophil
fat,nk cell,nk cell
fat,nk cell,nk cells
fat,nk cell,natural killer cell
fat,nk cell,natural killer cells
fat,nk cell,natural_killar_cells
fat,nk cell,proliferating nk cell
fat,nk cell,uterine nk cells
fat,plasma cell,plasma
fat,plasma cell,plasma cell
fat,plasma cell,plasma cells
fat,plasma cell,plasma_cells
fat,smooth muscle cell,smooth muscle cell
fat,smooth muscle cell,smooth muscle cells
fat,smooth muscle cell,smooth_muscle_cells
fat,t cell,areg high t-cell
fat,t cell,areg low t-cell
fat,t cell,t cell
fat,t cell,t cell-low rna
fat,t cell,t cells
fat,t cell,t lymphocytes
fat,t cell,t-cells
fat,t cell,t_cells
fat,t cell,alpha beta t cell
fat,t cell,alpha-beta t cell
heart,cardiac endothelial cell,endothelial cells
heart,cardiac muscle cell,cardiac muscle cells
heart,fibroblast of cardiac tissue,cardiac fibroblast
heart,hepatocyte,hepatocyte
heart,macrophage,macrophage
heart,macrophage,macrophages
heart,macrophage,monocyte/macrophage
heart,macrophage,sorted myeloid
heart,macrophage,tissue resident macrophage
heart,smooth muscle cell,smooth muscle cell
heart,smooth muscle cell,smooth muscle cells
heart,smooth muscle cell,smooth_muscle_cells
kidney,b cell,b cell
kidney,b cell,b cells
kidney,b cell,b lymphocytes
kidney,b cell,b_cells
kidney,cd4-positive helper t cell,cd4 helper t cell
kidney,"cd8-positive, alpha-beta t cell",cd4 t cell
kidney,"cd8-positive, alpha-beta t cell",cd8 t cell
kidney,endothelial cell,endothelial
kidney,endothelial cell,endothelial cell
kidney,endothelial cell,endothelial cells
kidney,endothelial cell,endothelial/kuppfer
kidney,endothelial cell,endothelial_cells
kidney,endothelial cell,endothelium
kidney,endothelial cell,enodthelial cell
kidney,kidney epithelial cell,kidney epithelial cell
