cell_ontology_class,free_annotation,number of cells
epithelial cell of lacrimal sac,lacrimal cells - unspecified,52
epithelial cell of uterus,Unciliated epithelium,194
erythrocyte,Erythrocyte,108
erythrocyte,Erythrocytes,39
erythrocyte,erythrocyte,10857
erythroid lineage cell,erythroid cells,30
erythroid progenitor,Erythroid Progenitor Cell,34
erythroid progenitor,erythroid progenitor,757
erythroid progenitor,not-existing,52
eye photoreceptor cell,retina - photoreceptor cells,891
fast muscle cell,fast muscle cell,352
fibroblast,Endometrial stromal fibbroblast,1870
fibroblast,Fibroblast,2392
fibroblast,Fibroblasts,8459
fibroblast,Stellate/Fibroblast,76
fibroblast,Uterine fibroblast,1144
fibroblast,fibroblast,17963
fibroblast,fibroblasts,95
fibroblast of breast,Fibroblasts (Lipofibroblasts),2066
fibroblast of cardiac tissue,Cardiac Fibroblast,250
goblet cell,goblet cell,311
granulocyte,granulocyte,855
gut endothelial cell,gut endothelial cell,99
hematopoietic stem cell,Hematopoietic stem cell,73
hematopoietic stem cell,hematopoietic stem cell,721
hepatocyte,Hepatocyte,2647
hillock cell of prostate epithelium,Hillock Epithelial Cell,211
hillock-club cell of prostate epithelium,Hillock/Club Epithelial Cell,290
immature enterocyte,immature enterocyte,1288
immature natural killer cell,immature natural killer cell,44
immune cell,Cycling immune cells,17
immune cell,Immune_notvalidated,2109
innate lymphoid cell,Innate lymphoid cells,2594
innate lymphoid cell,innate lymphoid cell,2537
intermediate monocyte,intermediate monocyte,689
intestinal crypt stem cell,intestinal crypt stem cell,245
intestinal crypt stem cell of large intestine,intestinal crypt stem cell,114
intestinal crypt stem cell of small intestine,intestinal crypt stem cell,71
intestinal enteroendocrine cell,intestinal enteroendocrine cell,113
intestinal tuft cell,intestinal tuft cell,193
intrahepatic cholangiocyte,BECS,42
ionocyte,Ionocytes,87
ionocyte,ionocyte,13
keratinocyte,tongue_keratinized_epithelium,3667
kidney epithelial cell,kidney epithelial cell,8331
lacrimal gland functional unit cell,lacrimal gland functional unit cells,250
langerhans cell,Langerhans cells,36
large intestine goblet cell,goblet cell,385
leucocyte,Leucocytes,160
limbal stem cell,limbal stem cells,144
limbal stromal cell,limbal stromal cells,75
liver dendritic cell,Dendritic cell,34
luminal cell of prostate epithelium,CPE High Luminal Epithelial Cell,944
luminal cell of prostate epithelium,CPE Low Luminal Epithelial Cell,88
luminal cell of prostate epithelium,Luminal Epithelial Cell,60
luminal epithelial cell of mammary gland,Luminal Progenitor Cells,2893
luminal epithelial cell of mammary gland,Mature luminal cells,2485
lung ciliated cell,lung ciliated cell,602
lung microvascular endothelial cell,lung microvascular endothelial cell,485
lymphatic endothelial cell,lymphatic endothelial cell,44
macrophage,Macrophage,1020
macrophage,Macrophages,3747
macrophage,Monocyte/Macrophage,1246
